;Nº RM;MÊS;ANO;PRINCÍPIOS DIVINOS;SUNKYO;GOSEIGEN;ENSINAMENTO OSHIENUSHISAMA;ENSINAMENTO SUKUINUSHISAMA;DEPOIMENTOS / RELATOS DE EXPERIÊNCIAS;EXTRAS.1;AGRICULTURA YOKO;MAHIKARI-TAI.1;TORNAR-SE UMA PESSOA QUE RECEBE PROVIDÊNCIAS DE DEUS;VOZ DA FELICIDADE;NO CAMINHO DO AMOR E DA SINCERIDADE;FÓRUM DA CRUZ PARA REFLETIR SOBRE O SÉCULO XXI;ECOA DO TEMPLO MUNDIAL SUZA O SINO DA AURORA DA CIVILIZAÇÃO ESPIRITUALISTA;PRÁTICA DAS NORMAS DE CONDUTA E BOAS MANEIRAS DO KAMI-KUMITE;UM PASSO DE ELEVAÇÃO;A GLÓRIA DE VIVER DEDICANDO-SE NA TERRA SAGRADA;BRILHEM EXERCENDO OS TRÊS PAPÉIS DA EXPANSÃO;RUMO AO NOVO, VERDADEIRO E SAGRADO SÉCULO XXI;RUMO À ECONOMIA ESPIRITUALISTA DO SAGRADO SÉCULO XXI;A RETRIBUIÇÃO A DEUS E A SALVAÇÃO DAS PESSOAS;IMAGEM DA VONTADE CELESTIAL;FONTE DE MILAGRES;SER PRECURSOR NA SALVAÇÃO DO MUNDO, NA ABERTURA DO NOVO E SAGRADO SÉCULO;LUZ DO AMOR;VIDAS QUE BRILHAM COM AL LUZ DE DEUS;SUKUINUSHI-SAMA, OS 100 ANOS DO SEU NASCIMENTO;A FORMAÇÃO DE DEZ MIL PESSOAS DA CIVILIZAÇAO ESPIRITUALISTA;EXTRAS.2;FAZENDA YOKO;DIÁLOGO ENTRE MÃE E FILHO;A FÉ VOLTADA A DEUS E A EDUCAÇÃO DA LEI DA VERDADE;O CAMINHO PARA SE TORNAR SEMENTE DO SAGRADO SÉCULO XXI;CULTIVANDO AS SEMENTES DA PRÓXIMA GERAÇÃO;MAHIKARI-TAI 2
0;320;NOV;2023;NULO;O VERDADEIRO SENTIMENTO DE ACEITACAO PLENA EM RELACAO A DEUS,ACEITACAO PLENA DA VONTADE DE DEUS SU.;DEUS INTERIOR. (CAP. O HUMANIDADE, TORNAI CLARO O VOSSO REGISTRO ESPIRITUAL.);"RETORNEM A DEUS SU E TORNEM-SE HOMENS JUSTOS.,FORCA ESPIRITUAL DA PALAVRA SINCERIDADE, MAKOTO.;MAKOTO.;SICERIDADE A DEUS.;ESTADO DE HARMINIA (WA).;HARMONIA.;WA.;ELIMINAR A DISTANCIA QUE NOS SEPARA DE DEUS.;DISTANCIA COM DEUS.;UNIAO COM DEUS.;TRABALHAO DE SU E DE MA.;SINCERIDADE EM RELACAO A VERDADE.;FANATISMO.;COERENCIA ENTRE PALAVRAS E ACOES.;DEFINICAO DE SINCERIDADE.;SEGREDO DA VERDADE.;FORCA ESPIRITUAL DOS NUMEROS DE MAKOTO.;DEUS MA.;VIDA DE SUKUINUSHISMA.;ONDAS E NOS DA VIDA DE SUKUINUSHISAMA.;ALEGRIA MAXIMA.;PESSOAS JUSTAS.;SENTIDO DA VIDA.;MAL-ACOSTUMADO COM DEUS.;INTEGRIDADE.;MA-OOKAMI.;DEUS MA-OOKAMI.;FE DIRIGIDA A DEUS.;SENTIMENTO PRESUNCOSO.;MARUKI.;TRABALHO DE MARUKI.";,;"DIVORSIO.;CASAMENTO VIOLENTO.;COMIDA TAILANDESA.;SINDROME DO PANICO.;ANSIEDADE.;INSONIA.;ABANDONO DO OMITAMA.;SUICIDIO.";"CUMPRAM A GRANDE RESPONSABILIDADE QUE POSSUEM COMO FILHOS DE DEUS, HITO, AQUELES QUE ALOJAM A SENTELHA DIVINA.,HITO.;FILHOS DE DEUS.;AQUELES QUE ALOJAM A SENTELHA DIVINA.;TYUKUO.;A GRANDE RESPONSABILIDADE QUE POSSUEM COMO FILHOS DE DEUS.;RESPONSABILIDADE COMO FILHOS DE DEUS.;FILHOS DE DEUS.;PRATICA DA LEALDADE A DEUS.;ERA DOS DEUSES.;ESPADA DOS QUERUBINS,;ARVORE DA VIDA.;JARDIM DO EDEN.;PRINCIPIO DIVINO - A UNIDADE SE LIGA AO TODO O TODO SE LIGA A UNIDADE.;PERSONALIDADES.;CIVILIZACAO DAS 5 CORES.;UNIAO E HARMONIA.A BASE DA HARMONIA E A GRATIDAO POR TUDO.;BASE DA HARMONIA.;FORCA MENTAL.;HARMONIA.;GRATIDAO.;CONFIAR EM DEUS SU;GRATIDAO POR TUDO. GLORIA AOS CEUS E A TERRA.";NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO
1;321;DEZ;2023;NULO;MARAVILHAS DIVINAS NASCEM DO ESTADO DE NAO-EU,DEUS PASSA A CONCEDER FELICIDADE INFINITA COM O ABANDONO DO EU;E NECESSARIO ACOLHER O ALVORECER DO MUNDO. (CAP. A ERA DOS 4 A E O FOGO DOS 7 FAROIS.);"O ESTADO MAXIMO DE SUNAO,OUVIR ATENTAMENTE OS ENSIMENTOS DE DEUS E DOS MESTRES.;ACEITACAO PLENA DA VONTADE DE DEUS SU.;EXPLICACAO DOS ORGAOS SENSORIAIS.;LAVAR OS OUVIDOS.;FALAR MENOS, OUVIR MAIS.;CAPACIDADE DE DISCERNIR CONVERSAS.;SIGNIFICADO DE SUNAO.;VONTADE DE DEUS SU.;TRES MA (MABOE, MAGUIO, MASSUGATA).;MABOE.;MAGUIO.;MASSUGATA.;CAMINHO PARA SER SUNAO.;O ESTADO MAXIMO DE SUNAO.;ESTADO DE PAZ.;FORTALECIMENTO PELAS ONDAS DA VIDA.;PRINCIPIO DA BOLA DE PING-PONGUE.";"O PRINCIPIO DA CIVILIZACAO HARMONICA (WA).,FORCA ESPIRITUAL DA SILABA WA.;PRINCIPIO DE TESE-ANTITESE-SINTESE.;TRABALHO DE MA.;PRINCIPIO DA CRUZ TRIDIMENSIONAL.;PRINCIPIO DA CRUZ BIDIMENSIONAL.;PRINCIPIO DA CRUZ TRIDIMENSIONAL E DA CRUZ BIDIMENSIONAL.;SOMAR FORCA DIVINA A FORCA HUMANA.;AMOR DE DEUS SU.;PRINCIPIO DA PIRAMIDE.;COLOCAR DEUS SU NO CENTRO.";"DERMATITE ATOPICA.;ESPOSO TESTEMUNHA PROCESSO DE LIMPEZA DA ESPOSA.;PURIFICANDO-SE A NASCENTE A FOZ SE PURIFICA.;KAITYO.;CARGO SAGRADO.;CARGO ADMINISTRATIVO.;ASSISTENTE ADMINISTRATIVO.;SAUDE, HARMONIA E PROSPERIDADE NA DEDICACAO A DEUS SU.;EX-MEMBRO DO GRUPO DE JOVENS.;O PRINCIPIO DE O ESPIRITO E O PRINCIPAL A MENTE OBEDECE E O CORPO ACOMPANHA.;MUDANCA DA POSTURA DO AMBIENTE DE TRABALHO.";"INICIEM O MOVIMENTO RENASCENTISTA DA ESPIRITUALIDADE,OUVIR CADA PESSOA ATENTAMENTE.;PRINCIPIO DA ESCUTA ATIVA.;KIKURI.;TAKA AMA HARA.;ESTABELECER UMA REDE ESPIRITUAL.;RUMO A UMA VIDA DE GRATIDAO POR TUDO.;PRATICAR O SORRISO.;DEUS E HOMEM.;TRANFERENCIA GOSHINTAI.";NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO
2;322;JAN;2023;NULO;"A RETRIBUICAO DE DEUS,DEDICAR-SE AO ALTRUISMO.;ATUACAO DE ESPIRITOS PROTETORES NA RETRIBUICAO DE DESU SU.";E UM (FONTE, ORIGEM), E DOIS, MAS E UM. (CAP. O PRINICIO DE ESCOLHER DEUS.);"A MISSAO SAGRADA DO GRUPO ADIMINISTRATIVO DAS SEDES DA MAHIKARI,AS FUNCOES DO OSHIENUSHI, DOS DIRIGENTES, DOS KUMITE E APESADA RESPONSABILIDADE DOS MEMBROS DO GRUPO ADMINISTRATIVO.;MUNDO DE KAKURIMI.;KAKURIMI.;DEUS OONEMOTO.;OONEMOTO.;SIGNIFICADO DA PALAVRA KAMBU.;KAMBU.;DIRIGENTES.;OSSUEWANIN.;VAIDADE.;BOM SENSO.;WA → ELO.;PERGUNTAS E RESPOSTAS COM O OSHIENUSHISAMA, SOBRE O TREINAMENTO PARA ASSISTENTE ADMINISTRATIVO.";,;"TRES GRANDES VIRTUDES DO YOKOSHI.;MUDANCA NO LOCAL DE TRABALHO.;SONEN DE NAO CRITICAR.;PRATICA DAS TRES VIRTUDES NO AMBIENTE DE TRABALHO.;GRATIDAO, HUMILDADE E SUNAO.;ENSINAMENTO DO PUNHO.;AJUDA MUTUA.";,;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO
3;323;FEV;2023;NULO;"O FRESCOR DE OFERECER SERVICOS A DEUS.,TREINAMENTO ASCETICO DE SUKUINUSHISAMA.;BANHEIRO E MOSQUITEIROS.;FACILITAR O GOHOSHI DOS ORIENTADORES.";OBTER AMIGOS (CAP. OBTER AMIGOS.);"A REALIDADE DOS GRANDIOSOS TREINAMENTOS ESPIRITUAIS BASEADOS NOS PRINCIPIOS DIVINOS.,INVESTIGACOES EM KYUSHU E NA TERRA DE HIDAMA.;KYUSHU E HIDAMA.;KYUSHU.;HIDAMA.;DESCIDA DOS DEUSES DA LINHAGEM DO FOGO.;DESCIDA DOS DEUSES.;DEUS AMATERASSUHI.;AMATERASSUHI.;DESCIDA DO DEUS AMATERASSUHI NA TERRA DE HIDAMA.;SIGNIFICADO ESPIRITUAL DO NOME ASSO.;ASSO.;TAKATIHO.;DESCIDA DOS DESCENDENTES CELESTIAIS.;DESCENDENTES CELESTIAIS.;BUSCA DO TEMPLO DO DEUS DO FOGO.;BUSCA DE TEMPLOS POR SUKUINUSHIMASA.;REVELACAO DE DEUS SU PARA CONSTRUCAO DO TEMPLO MUNDIAL.;TEMPLO MUNDIAL SUZA.;SIGNIFICADO ESPIRITUAL DO NOME ASSO.;ASSO.;REGIAO DE TAKATIHO.;TAKATIHO.;NIVEL DA ESCRITA DO GOSHINTAI.;HISTORIA DIVERSAS SOBRE O MUNDO DOS ESPIRITOS.;HISTORIA DO DESCENDENTE QUE ENTERROU O LEAL IMPERIALISTA KAWASHINOSUKE TANAKA.;IMPERIALISTA KAWASHINOSUKE TANAKA.;DESCENTENDE DO LEAL IMPERIALISTA.;FORMACAO DAS PESSOAS SEMENTES.;SEIO-O.;SEIGUIOKU.;APROFUNDAMENTO DO NIVEL DOS TREINAMENTOS ESPIRITUAIS.;TREINAMENTOS ESPIRITUAIS.;AS TRES GRANDES VIRTUDES DO YOKOSHI.;TRES VIRTUDES.;TREINAMENTO SAGRADO DE HUMILDADE.;TREINAMENTO DA HUMILDADE SINCERA.;TREINAMENTO DE BODHISATTVA.;BODHISATTVA.;OMITAMA DE GRAU BASICO.;OMITAMA DE GRAU INTERMEDIARIO.;OMITAMA DE GRAU SUPERIOR.;OMITAMA DE GRAU NIVEL 2.;OMITAMA DE GRAU NIVEL 1.;OMITAMA DE GRAU ESPECIAL.;TATHAGATA.;TREINAMENTO DE TATHAGATA.;TREINAMENTO DE ACUMULAR VIRTUDE NOS BASTIDORES.;TREINAMENTO ESPIRITUAL DE RECLUSAO SENTO.;SENTO.;";"MEU ESPIRITO ESTA COM DEUS (MOVIMENTO INTERLIGADO DOS TRES MUNDOS E A VIDA COTIDIANA),MOVIMENTO DOS TRES MUNDOS DIVINO, ASTRAL E MATERIAL.;MOLDE ESPIRITUAL DO SER HUMANO HINAGATA.;HINAGATA.;FORCA DE COMUNICACAO COM DEUS.;FILHO DE DEUS.;SINTONIZA COM DEUS.;HITO.;DESENVOLVENDO A ESSENCIA DO FILHO DE DEUS.;EM PRIMEIRO LUGAR, EM SEGUNDO LUGAR, EM TERICEIRO LUGAR IMPONHAM A MAO.";"ACUMPUNTURISTA.;PROBLEMA DE RELACIONAMENTO.;CANCER NO UTERO.;UTERO.;CANCER.;PRODUTOR DE MORANGOS.;OFERENDA PARA REFORMA DO SUZA.;REFORMA DO SUZA.;FRATURA DO PULSO DA AVO.;FRATURA DO PULSO.";,;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO
4;324;MAR;2023;NULO;"TORNEM-SE INABALAVEIS PRATICANTES DA FE DIRIGIDA A DEUS,SINCERIDADE COM DEUS.;TER O ESPIRITO COMBATIVEL.;MANIPULACAO ESPIRITUAL.;INFLUENCIA ESPIRITUAL.;";REGENERAR OS TAMASHII DE AFINIDADE COM DEUS (CAP. ALERTA AO MUNDO ATUAL);AS INTERFERENCIAS ESPIRITUAIS DA HUMANIDADE E O RETONRO A FE DIRIGIDA A DEUS SU.,;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO
5;305;AGO;2022;NULO;PRONUNCIAR PALAVRAS QUE ESTEJAM EM CONFORMIDADE COM OS PRINCÍPIOS DIVINOS;ERA EM QUE SERÁ MOSTRADA A FORÇA;VISÃO ESPIRITUAL PARA CONCRETIZAR A VONTADE DIVINA                                                                                         . A primeira Cerimônia do Início da Primavera                                                                   . Revelando e esclarecendo a realidade do Grande Plano de Deus                                                                                                                      . Corda da vida que conecta Deus, Mestres e Amigos yokoshi                                                                                                   FUNÇÃO DA CORDA DA VIDA                                                                            . Proclamando os princípios divinos aos formadores de opinião                                                                                                         . Sinais revelados por meio das Olimpíadas                                                                                           . Os sublimes laços espirituais com Deus                                                                    . O rigoroso universo das atividades sagradas                                                     GRÃO-MESTRE                                          GRÃO-ORIENTADOR;"O RESSURGIMENTO DAS CERIMÔNIAS DIVINAS                                                                 . A desordem espiritual e os fenômenos de julgamento de Deus                                                              . Retornando ao Princípio de ""O espírito é o principal, a mente obedece e o corpo acompanha""                                                                  . O embarque dos yokoshi na Intenção de Deus (a oração dos yokoshi)";"1. QUE VENHAM OS COMPANHEIROS! ""AVANTE, MAHIKARI!"" (Kazumi Higashi - Bunkyo - Kanto - Japão)                                                                                          2. OLHAR CORAJOSAMENTE PARA MIM E PRATICAR (roberta Accardo de Oliveira - Bragança Paulista - Brasil)";"MUSEU HIKARU                                                                                 Ala Memorial do Mestre Sukuinushisama                                                                                 O ""LIVRO DE ORAÇÕESDO YOKOSHI"" E A PRÁTICA DOS PRINCÍPIOS DIVINOS""";NULO;VISTORIA DE LUZ                                                                                              1. AGORA, VOU BUSCAR ME TORNAR UMA SEMENTE DE LUZ! (Saori Shimouti - Nemuro - Hokkaido - Japão);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;"MUSEU HIKARU                                                                                 Ala Memorial do Mestre Sukuinushisama                                                                                 O ""LIVRO DE ORAÇÕESDO YOKOSHI"" E A PRÁTICA DOS PRINCÍPIOS DIVINOS""";NULO;NULO;NULO;NULO;NULO;VISTORIA DE LUZ                                                                                              1. AGORA, VOU BUSCAR ME TORNAR UMA SEMENTE DE LUZ! (Saori Shimouti - Nemuro - Hokkaido - Japão)
6;295;OUT;2021;NULO;VAMOS NOS EMPENHAR NO POLIMENTO DA ALMA!;LOUVEM DEUS SU E PROSSIGAM VIVENDO DE ACORDO COM O SEU ENSINAMENTO;"O SIGNIFICADO FUNDAMENTAL DOS CÂNTICOS DIVINOS                                                                                                                                                            CÂNTICOS DIVINOS - INTRODUÇÃO: ""PREFÁCIO DOS CÂNTICOS DIVINOS"" (Explicação do ""Livro de Orações do Yokoshi"" - Parte 116)                                                                                       . A essência da poesia waka                                                                                    POESIAS CURTAS                                                                           . Expressões sutis, difíceis de serem explicadas                                                                                               A NAÇÃO ONDE NÃO SE USAM ARGUMENTOS                                                                      OS CÂNTICOS DIVINOS SERVEM, EM ÚLTIMA INSTÂNCIA, PARA LEVAR AO DESPERTAR ESPIRITUAL                                                                   . Orientações para recitar os cânticos divinos                                                                    SATORI                                                                        DESPERTAR ESPIRITUAL                                                                 ELIMINAÇÃO DA DISTÊNCIA COM DEUS                                                                                     . Pontos importantes do ""Prefácio dos cânticos divinos""                                                                                 DO ENTENDIMENTO DO CONTEÚDO PARA O DESPERTAR ESPIRITUAL (SATORI)                                                                         ALMA SECA E VAZIA                                                                                        ALIMENTO DE LUZ                                                            ";COMO SUPERAR A TEMPESTADE DE RARURO                                                                                                                                          . A essência do fogo no Plano de Deus aumentará exponencialmente                                                                                                   . Dedicar´se à fé dirigida a Deus conforme os princípios divinos para se tornar uma pessoa-semente do século sagrado;1. PROSSEGUINDO NA FÉ, VÁRIOS GOSHINTAI FORAM VENERADOS (Nobuko Ohmine - Fujiidera - Kansai - Japão)                                                                      2.REFORMAR A MIM MESMO E, COMO DIRETOR DE ESCOLA, DIVULGAR OS PRINCÍPIOS DIVINOS PARA FORMAR PESSOAS DA CIVILIZAÇÃO ESPIRITUALISTA (Hideaki Kunimori - Yamaguchi - Tyugoku - Japão);NULO;NULO;O UNIFORME E O ALINHAMENTO AO PRESIDENTE DO GRUPO                                                       . Vamos reiterar nossa conscientização sobre o significado do uniforme!                                                                                                            . Vamos nos alinhar firmemente ao presidente!                                                       COM O SENTIMENTO RENOVADO, VAMOS DAR NOVA PARTIDA RUMO À VISTORIA DE LUZ!                                                                                    . Reconfirmação do significado da Vistoria de Luz                                                                                      . Nosso objetivo: reunir espiirtualmente todos os integrantes do Grupo                                                                                             . Chegou a Vistoria de Luz! Alcancemos a elevação da dimensão espiritual!;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;O UNIFORME E O ALINHAMENTO AO PRESIDENTE DO GRUPO                                                       . Vamos reiterar nossa conscientização sobre o significado do uniforme!                                                                                                            . Vamos nos alinhar firmemente ao presidente!                                                       COM O SENTIMENTO RENOVADO, VAMOS DAR NOVA PARTIDA RUMO À VISTORIA DE LUZ!                                                                                    . Reconfirmação do significado da Vistoria de Luz                                                                                      . Nosso objetivo: reunir espiirtualmente todos os integrantes do Grupo                                                                                             . Chegou a Vistoria de Luz! Alcancemos a elevação da dimensão espiritual!
7;274;JAN;2020;NULO;A REFLEXÃO DE FIM DE ANO DOS YOKOSHI;TOMEM O CAMINHO DA SABEDORIA ESPIRITUAL DE CHON;"COMEMORANDO O MARCO SAGRADO DO PRIMEIRO ANO DO RETORNO À ORIGEM                                                                                            . Um maior avanço na missão de Yo                                                                                                       . A LUZ VEM DO ORIENTE (LESTE)                                                                                                              RUMO À TERCEIRA                               ETAPA DA                                                                                                         ORGANIZAÇÃO                                                         MISSÃO DE YO                                                      ""A vossa fé vos salvará""                                                    TU PRATICARÁS INCESSANTEMENTE A ARTE MAHIKARI, COMO PREPARATIVO PARA A GRANDE TEMPESTADE                                                    . Rumo à edificação da civilização tridimensional centrada no espírito       RETORNO À FÉ                                        DIRIGIDA A DEUS SU";NULO;NULO;60º ANIVERSÁRIO DA SUKYO MAHIKARI                                                                                                                 1. A INSTITUIÇÃO DO DIA NACIONAL DA SUKYO MAHIKARI NO BRASIL, RUMO À UNIÃO HARMONIOSA DO MUNDO (Luiz Nishimori - Deputado Federal da República Federativa do Brasil)                                                                                2. CIENTE DE QUE A ORIGEM DA HUMANIDADE É UMA SÓ, TRABALHAR COM ALEGRIA PELA SALVAÇÃO DA HUMANIDADE E REGENERAÇÃO DO PLANETA (Nicia Palma - Ex-ministra de orçamento do Chile)                                                                                      3. LAÇOS DE ENERGIA ESPIRITUAL QUE UNEM A CIVILIZAÇÃO INCA COM O SUZA (Juan Carlos Capuñay Chávez - Ex-embaixador do Peru no Japão)                                                                                                                                        4. COM ESPÍRITO DE DEDICAÇÃO VOLUNTÁRIA, IMPULSIONAR A REVOLUÇÃO AMBIENTAL (Yao Narcisse - Dakar - Senegal - África)                                                                                       5. COM A CONVICÇÃO DE QUE DEUS É LUZ, TRANSPOR BARREIRAS RELIGIOSAS PARA SALVAR PESSOAS (Pe. Alexandre F. do Nascimento - Natal - Brasil)                                                                                      6. A LUZ DE DEUS E OS MILAGRES NO SUL DA ÍNDIA (Jagdeesh Rao - Kochi - Índia)                                                                                    7. DA ONG DAS NAÇÕES UNIDAS, LUZ PARA O MUNDO, VISANDO A PAZ (Sharon Hamilton-Getz - Nova York - EUA);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO
8;275;FEV;2020;NULO;TORNANO REAL A HARMONIA;DEUS POSSUÍA UM PLANO;MENSAGEM DE ANO NOVO DO OSHIENUSHISAMA                                                              VAMOS PROTEGER TODA A VIDA                                                              . NUCLEAR . MEIO AMBIENTE                                                          . ESPERANÇA PARA OS JOVENS DO FUTURO                                                                                                        ALMEJAR UM MUNDO                                                                                                                                                           DE COEXISTÊNCIA                                                                                 MISSÃO DE BARRAR E                                                                              INVERTER A DIREÇÃO                                   CÍRCULO DA PAZ E AMIZADE                                                                           LUZ DE DEUS QUE ILUMINA O MUNDO                                              A PRÁTICA DE EXECUTAR UMA BOA AÇÃO POR DIA                                                              . Gratidão à Natureza e esforço em economizar                                              . Impulsionando o movimento dos 4R: levemos conosco uma sacola plástica!                                                                                                                                       SEPARAÇÃO DO LIXO:                                      LIXO INCINERÁVEL                                                                                                          LIXO NÃO-INCINERÁVEL                                                                                   . Renascendo espiritualmente a cada dia                                                                                        UMA BOA AÇÃO POR DIA                                                                        IMPERMANÊNCIA E                                                                               FALTA DE AMOR                                                                       PARA AS PRÓXIMAS                               GERAÇÕES   ;NULO;1. LEVANDO LUZ ÀS PESSOAS (Nelson Hauenstein - Londrina - Brasil)                                                                                               2. OS TRINTA ANOS QUE CAMINHEI COM MEUS FILHOS E A GRATIDÃO POR SER KUMITÊ (Chinami Morishita - Maizuru - Kansai - Japão)                                                                                                                  3. RETORNO MILAGROSO AO TRABALHO PARALEVAR APOIO E LUZ AOS PACIENTES (Yoshie Nakano - Kiryu - Kanto - Japão)                                                                                                               4. POR TRÁS DE CADA SITUAÇÃO, O GRANDE AMOR DE DEUS (Toyota Miyahara - Santa Cruz - Bolívia);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO
9;276;MAR;2020;NULO;UNINDO-NOS A DEUS PARA CONCRETIZARMOS A CIVILIZAÇÃO PARADISÍACA;SIRVAM ÀS CAUSAS ESPIRITUALISTAS EM PROL DA PRÓXIMA CIVILIZAÇÃO;JOVENS, COROEMOS MAGNIFICAMENTE O CINQUENTENÁRIO D ADECLARAÇÃO DE UNIFICAÇÃO DO GRUPO!                                                                                             . Abençoados sejam todos os jovens da Mahikari                                                                                                                                                             ABANDONO                                                                                                      DO EU                                                                                                           . O surgimento de um mundo harmonioso, tecido pelos seres humanos das cinco cores                                                        PESSOAS QUE CONTRIBUAM                        COM A PAZ MUNDIAL                                                                  ESPÍRITO DE DEDICAÇÃO                                                                     VOLUNTÁRIA                                                               . Vamos demonstrar toda a força da juventude e o espírito de dedicação!                                                                    JOVENS DE ELEVADA                         FRAGRÂNCIA ESPIRITUAL                                                                                             CELEBRAÇÃO                                          GLORIOSA;A CONVERGÊNCIA ENTRE RELIGIÃO E CIÊNCIA                                                                                                                                                      . A ciência divina e a ciência humana                                                                  . Em direção ao alvorecer da verdadeira ciência                                                                                                         . Mudar para um ensinamento comum à humanidade;1. A MAHIKARI NÃO É UMA ORGANIZAÇÃO QUALQUER (Mary Ibañez - Trujillo - Peru) MTai                                            2. UMA NOVA VIDA COM O MILAGRE DA RESTAURAÇÃO ÓSSEA (Carone Fernandes - Porto - Portugal) MTai                                                                                                 3. AEMPRE ACREDITANDO NA NATUREZA DIVINA DOS ALUNOS (Shoichiro Suzuki - Roppongi - Tóquio - Japão) MTai                                                                                                 4. A FELICIDADE QUE SE RECEBE AO SALVAR O PRÓXIMO (Yoko Kodama - Funabashi - Chiba - Japão)                                                                                                                                  5. DESCOBRINDO A ALEGRIA DE DISTRIBUIR A LUZ E OS ENSINAMENTOS (Ker Chi Lau - Malásia - Malásia) MTai                                                                                                          6. DEIXEI DE ESTAR CENTRADA EM MIM PARA ME CENTRAR EM DEUS (Yuno Kisaki - -Nagoya-Higashi - Aichi - Japão) MTai                                                                                               ;NULO;NULO;Objetivando tornarem-se pessoas da civilização espiritualista da Luz                                                         JOVENS, TORNEM-SE GRANDES ÁRVORES!;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO
